uid,id,rarity,time,banner,type,manual
1733281800001717122,20016,3,2024-12-04T03:10:20.000Z,2051,11,false
1733281800001733122,1313,5,2024-12-04T03:10:25.000Z,2051,11,false
1739844600000018722,20000,3,2025-02-18T02:16:07.000Z,2059,11,false
1739844600000018822,20013,3,2025-02-18T02:16:07.000Z,2059,11,false
1739844600000018922,20016,3,2025-02-18T02:16:07.000Z,2059,11,false
1739844600000019022,1202,4,2025-02-18T02:16:07.000Z,2059,11,false
1739844600000019122,20013,3,2025-02-18T02:16:07.000Z,2059,11,false
1739844600000019222,20009,3,2025-02-18T02:16:07.000Z,2059,11,false
1739844600000019322,20001,3,2025-02-18T02:16:07.000Z,2059,11,false
1739844600000019422,20021,3,2025-02-18T02:16:07.000Z,2059,11,false
1739844600000019522,20004,3,2025-02-18T02:16:07.000Z,2059,11,false
1739844600000019622,20003,3,2025-02-18T02:16:07.000Z,2059,11,false
1739844600000020022,20005,3,2025-02-18T02:16:14.000Z,2059,11,false
1739844600000020122,20022,3,2025-02-18T02:16:14.000Z,2059,11,false
1739844600000020222,20005,3,2025-02-18T02:16:14.000Z,2059,11,false
1739844600000020322,1206,4,2025-02-18T02:16:14.000Z,2059,11,false
1739844600000020422,20020,3,2025-02-18T02:16:14.000Z,2059,11,false
1739844600000020522,20018,3,2025-02-18T02:16:14.000Z,2059,11,false
1739844600000020622,20018,3,2025-02-18T02:16:14.000Z,2059,11,false
1739844600000020722,20020,3,2025-02-18T02:16:14.000Z,2059,11,false
1739844600000020822,20011,3,2025-02-18T02:16:14.000Z,2059,11,false
1739844600000020922,20022,3,2025-02-18T02:16:14.000Z,2059,11,false
1739844600000021122,20005,3,2025-02-18T02:16:21.000Z,2059,11,false
1739844600000021222,20021,3,2025-02-18T02:16:21.000Z,2059,11,false
1739844600000021322,20020,3,2025-02-18T02:16:21.000Z,2059,11,false
1739844600000021422,21004,4,2025-02-18T02:16:21.000Z,2059,11,false
1739844600000021522,20021,3,2025-02-18T02:16:21.000Z,2059,11,false
1739844600000021622,20016,3,2025-02-18T02:16:21.000Z,2059,11,false
1739844600000021722,20014,3,2025-02-18T02:16:21.000Z,2059,11,false
1739844600000021822,20022,3,2025-02-18T02:16:21.000Z,2059,11,false
1739844600000021922,20015,3,2025-02-18T02:16:21.000Z,2059,11,false
1739844600000022022,20012,3,2025-02-18T02:16:21.000Z,2059,11,false
1739844600000022322,20000,3,2025-02-18T02:16:28.000Z,2059,11,false
1739844600000022422,20014,3,2025-02-18T02:16:28.000Z,2059,11,false
1739844600000022522,1206,4,2025-02-18T02:16:28.000Z,2059,11,false
1739844600000022622,20014,3,2025-02-18T02:16:28.000Z,2059,11,false
1739844600000022722,20019,3,2025-02-18T02:16:28.000Z,2059,11,false
1739844600000022822,20009,3,2025-02-18T02:16:28.000Z,2059,11,false
1739844600000022922,20013,3,2025-02-18T02:16:28.000Z,2059,11,false
1739844600000023022,20002,3,2025-02-18T02:16:28.000Z,2059,11,false
1739844600000023122,20002,3,2025-02-18T02:16:28.000Z,2059,11,false
1739844600000023222,20003,3,2025-02-18T02:16:28.000Z,2059,11,false
1739844600000023422,20018,3,2025-02-18T02:16:32.000Z,2059,11,false
1739844600000023522,20020,3,2025-02-18T02:16:32.000Z,2059,11,false
1739844600000023622,1215,4,2025-02-18T02:16:32.000Z,2059,11,false
1739844600000023722,20020,3,2025-02-18T02:16:32.000Z,2059,11,false
1739844600000023822,20006,3,2025-02-18T02:16:32.000Z,2059,11,false
1739844600000023922,20016,3,2025-02-18T02:16:32.000Z,2059,11,false
1739844600000024022,20011,3,2025-02-18T02:16:32.000Z,2059,11,false
1739844600000024122,20011,3,2025-02-18T02:16:32.000Z,2059,11,false
1739844600000024222,20009,3,2025-02-18T02:16:32.000Z,2059,11,false
1739844600000024322,20013,3,2025-02-18T02:16:32.000Z,2059,11,false
